0.0
node 65544    25000   7530.12   0      0.0697788   0.0536778   -0.00223222      0.0697788   0.0536778   -0.00223222
node 65545    25000   8132.53   0      0.0727965   0.0553059   -0.0025266      0.0727965   0.0553059   -0.0025266
node 65571    25000   8734.94   0      0.0755396   0.0569199   -0.00278892      0.0755396   0.0569199   -0.00278892
node 65612    25000   9337.35   0      0.0777081   0.0584506   -0.0031038      0.0777081   0.0584506   -0.0031038
node 65519    25000   9939.76   0      0.0795509   0.0598752   -0.0034164      0.0795509   0.0598752   -0.0034164
node 65688    25000   10542.2   0      0.0810417   0.0612077   -0.00371668      0.0810417   0.0612077   -0.00371668
node 58369    25000   11144.6   0      0.0820811   0.0624305   -0.00405113      0.0820811   0.0624305   -0.00405113
node 65687    25000   11747   0      0.0828811   0.0635161   -0.00436526      0.0828811   0.0635161   -0.00436526
node 65685    25000   12349.4   0      0.083286   0.0644834   -0.00469464      0.083286   0.0644834   -0.00469464
node 63231    25000   12951.8   0      0.0834017   0.0652847   -0.00501995      0.0834017   0.0652847   -0.00501995
node 63230    25000   13554.2   0      0.0833011   0.0659494   -0.00531518      0.0833011   0.0659494   -0.00531518
node 65831    25000   14156.6   0      0.0828806   0.0664876   -0.00562548      0.0828806   0.0664876   -0.00562548
node 65878    25000   14759   0      0.082293   0.0668534   -0.0059102      0.082293   0.0668534   -0.0059102
node 64939    25000   15361.4   0      0.0814838   0.0671086   -0.00618017      0.0814838   0.0671086   -0.00618017
node 65929    25000   15963.9   0      0.0804941   0.0672178   -0.00644896      0.0804941   0.0672178   -0.00644896
node 65965    25000   16566.3   0      0.0793917   0.0671932   -0.00668152      0.0793917   0.0671932   -0.00668152
node 65936    25000   17168.7   0      0.0781178   0.0670669   -0.00690942      0.0781178   0.0670669   -0.00690942
node 66046    25000   17771.1   0      0.0767491   0.0667945   -0.00712044      0.0767491   0.0667945   -0.00712044
node 66045    25000   18373.5   0      0.0752976   0.0664364   -0.00732433      0.0752976   0.0664364   -0.00732433
node 59380    25000   18975.9   0      0.0737468   0.0659739   -0.00749919      0.0737468   0.0659739   -0.00749919
node 66119    25000   19578.3   0      0.0721303   0.0653994   -0.00767446      0.0721303   0.0653994   -0.00767446
node 66155    25000   20180.7   0      0.0705134   0.0647697   -0.00779168      0.0705134   0.0647697   -0.00779168
node 66024    25000   20783.1   0      0.0688289   0.0640479   -0.00793635      0.0688289   0.0640479   -0.00793635
node 65978    25000   21385.5   0      0.0671431   0.0632734   -0.0080265      0.0671431   0.0632734   -0.0080265
node 66188    25000   21988   0      0.0654127   0.0624257   -0.00812825      0.0654127   0.0624257   -0.00812825
node 66167    25000   22590.4   0      0.0636915   0.061509   -0.00821045      0.0636915   0.061509   -0.00821045
node 61636    25000   23192.8   0      0.0619851   0.0605653   -0.00827035      0.0619851   0.0605653   -0.00827035
node 64955    25000   23795.2   0      0.0602596   0.0595593   -0.00831624      0.0602596   0.0595593   -0.00831624
node 61632    25000   24397.6   0      0.0585955   0.0585468   -0.00836144      0.0585955   0.0585468   -0.00836144
node 60337    24397.6   25000   0      0.0578197   0.0590691   -0.00836422      0.0578197   0.0590691   -0.00836422
node 64946    23795.2   25000   0      0.0586854   0.0606291   -0.00831261      0.0586854   0.0606291   -0.00831261
node 64948    23192.8   25000   0      0.0595329   0.0622412   -0.00827888      0.0595329   0.0622412   -0.00827888
node 65064    22590.4   25000   0      0.0603067   0.0638027   -0.00823636      0.0603067   0.0638027   -0.00823636
node 65091    21988   25000   0      0.0610496   0.065364   -0.00815325      0.0610496   0.065364   -0.00815325
node 66061    21385.5   25000   0      0.0617157   0.0669209   -0.00806271      0.0617157   0.0669209   -0.00806271
node 65977    20783.1   25000   0      0.0623082   0.0683991   -0.00796688      0.0623082   0.0683991   -0.00796688
node 65976    20180.7   25000   0      0.0628415   0.0698851   -0.00784744      0.0628415   0.0698851   -0.00784744
node 66048    19578.3   25000   0      0.0632713   0.0712614   -0.00773424      0.0632713   0.0712614   -0.00773424
node 65933    18975.9   25000   0      0.0636425   0.0725847   -0.0075829      0.0636425   0.0725847   -0.0075829
node 65983    18373.5   25000   0      0.0638942   0.0738157   -0.00741802      0.0638942   0.0738157   -0.00741802
node 65934    17771.1   25000   0      0.0640639   0.0749246   -0.00725052      0.0640639   0.0749246   -0.00725052
node 65891    17168.7   25000   0      0.0641337   0.0759708   -0.00705457      0.0641337   0.0759708   -0.00705457
node 65869    16566.3   25000   0      0.0640715   0.0768343   -0.0068692      0.0640715   0.0768343   -0.0068692
node 65814    15963.9   25000   0      0.0639346   0.0775505   -0.00665045      0.0639346   0.0775505   -0.00665045
node 58473    15361.4   25000   0      0.063662   0.0781362   -0.00641521      0.063662   0.0781362   -0.00641521
node 62112    14759   25000   0      0.063281   0.0784774   -0.00619516      0.063281   0.0784774   -0.00619516
node 63115    14156.6   25000   0      0.0627985   0.0786572   -0.00593983      0.0627985   0.0786572   -0.00593983
node 65747    13554.2   25000   0      0.0621798   0.0786245   -0.00568065      0.0621798   0.0786245   -0.00568065
node 65616    12951.8   25000   0      0.0614672   0.078276   -0.00542066      0.0614672   0.078276   -0.00542066
node 65653    12349.4   25000   0      0.0606396   0.0777606   -0.00513734      0.0606396   0.0777606   -0.00513734
node 65654    11747   25000   0      0.0596975   0.0768527   -0.00487233      0.0596975   0.0768527   -0.00487233
node 65471    11144.6   25000   0      0.0586949   0.0757292   -0.00459184      0.0586949   0.0757292   -0.00459184
node 65552    10542.2   25000   0      0.057582   0.0743033   -0.00429816      0.057582   0.0743033   -0.00429816
node 53715    9939.76   25000   0      0.0563979   0.072455   -0.00402547      0.0563979   0.072455   -0.00402547
node 53716    9337.35   25000   0      0.0551769   0.0703981   -0.00373684      0.0551769   0.0703981   -0.00373684
node 62091    8734.94   25000   0      0.0538842   0.0678727   -0.00347297      0.0538842   0.0678727   -0.00347297
node 63202    8132.53   25000   0      0.0525862   0.0650707   -0.00319753      0.0525862   0.0650707   -0.00319753
node 63203    7530.12   25000   0      0.051281   0.0619781   -0.00291514      0.051281   0.0619781   -0.00291514
node 65386    6927.71   25000   0      0.0499557   0.0584615   -0.00266953      0.0499557   0.0584615   -0.00266953
node 65253    6325.3   25000   0      0.048703   0.0547191   -0.002391      0.048703   0.0547191   -0.002391
node 65337    5722.89   25000   0      0.0474367   0.0505479   -0.00214254      0.0474367   0.0505479   -0.00214254
node 65282    5120.48   25000   0      0.0462694   0.0461036   -0.00189381      0.0462694   0.0461036   -0.00189381
node 65251    4518.07   25000   0      0.0451925   0.0414379   -0.00161428      0.0451925   0.0414379   -0.00161428
node 65249    3915.66   25000   0      0.0441478   0.0364137   -0.00139949      0.0441478   0.0364137   -0.00139949
node 65193    3313.25   25000   0      0.0432909   0.0312323   -0.00116834      0.0432909   0.0312323   -0.00116834
node 65192    2710.84   25000   0      0.0424904   0.0257976   -0.000951923      0.0424904   0.0257976   -0.000951923
node 46681    2108.43   25000   0      0.041862   0.020176   -0.00075381      0.041862   0.020176   -0.00075381
node 46679    1506.02   25000   0      0.0414134   0.0144898   -0.00050984      0.0414134   0.0144898   -0.00050984
node 59217    903.614   25000   0      0.0410465   0.00865162   -0.000324664      0.0410465   0.00865162   -0.000324664
node 65156    301.205   25000   0      0.0409317   0.0027648   -0.000124487      0.0409317   0.0027648   -0.000124487
node 62611    -301.205   25000   0      0.0409009   -0.00311029   8.21884e-05      0.0409009   -0.00311029   8.21884e-05
node 62612    -903.614   25000   0      0.0410725   -0.00904262   0.000274644      0.0410725   -0.00904262   0.000274644
node 65222    -1506.02   25000   0      0.0414462   -0.0148058   0.000508226      0.0414462   -0.0148058   0.000508226
node 62850    -2108.43   25000   0      0.0419052   -0.0205122   0.000699956      0.0419052   -0.0205122   0.000699956
node 65294    -2710.84   25000   0      0.0425807   -0.0261493   0.000908048      0.0425807   -0.0261493   0.000908048
node 65300    -3313.25   25000   0      0.0433268   -0.0314903   0.00114831      0.0433268   -0.0314903   0.00114831
node 65339    -3915.66   25000   0      0.0442291   -0.0367125   0.00136632      0.0442291   -0.0367125   0.00136632
node 65407    -4518.07   25000   0      0.0452759   -0.0416525   0.00161584      0.0452759   -0.0416525   0.00161584
node 63884    -5120.48   25000   0      0.0463589   -0.0463127   0.00185581      0.0463589   -0.0463127   0.00185581
node 63882    -5722.89   25000   0      0.047564   -0.0508085   0.00208789      0.047564   -0.0508085   0.00208789
node 60104    -6325.3   25000   0      0.0487875   -0.0548451   0.00236437      0.0487875   -0.0548451   0.00236437
node 65489    -6927.71   25000   0      0.0500599   -0.0586711   0.00261842      0.0500599   -0.0586711   0.00261842
node 65534    -7530.12   25000   0      0.0513878   -0.0621389   0.00288422      0.0513878   -0.0621389   0.00288422
node 65565    -8132.53   25000   0      0.0526899   -0.0652183   0.00315725      0.0526899   -0.0652183   0.00315725
node 65606    -8734.94   25000   0      0.054003   -0.0680519   0.00341145      0.054003   -0.0680519   0.00341145
node 65607    -9337.35   25000   0      0.0552707   -0.0704459   0.00370897      0.0552707   -0.0704459   0.00370897
node 59316    -9939.76   25000   0      0.0564881   -0.0725411   0.00399164      0.0564881   -0.0725411   0.00399164
node 65639    -10542.2   25000   0      0.0576615   -0.0743335   0.00425556      0.0576615   -0.0743335   0.00425556
node 61135    -11144.6   25000   0      0.0587616   -0.0757317   0.00454191      0.0587616   -0.0757317   0.00454191
node 65709    -11747   25000   0      0.0597793   -0.0769157   0.00480631      0.0597793   -0.0769157   0.00480631
node 61586    -12349.4   25000   0      0.0607149   -0.077714   0.00508373      0.0607149   -0.077714   0.00508373
node 60732    -12951.8   25000   0      0.0615242   -0.0782631   0.00535738      0.0615242   -0.0782631   0.00535738
node 65807    -13554.2   25000   0      0.0622444   -0.0785988   0.00560914      0.0622444   -0.0785988   0.00560914
node 45710    -14156.6   25000   0      0.0628543   -0.0786234   0.00588173      0.0628543   -0.0786234   0.00588173
node 65821    -14759   25000   0      0.0633362   -0.0784859   0.00612829      0.0633362   -0.0784859   0.00612829
node 60931    -15361.4   25000   0      0.0637245   -0.0780873   0.00637188      0.0637245   -0.0780873   0.00637188
node 62423    -15963.9   25000   0      0.063971   -0.0774953   0.00660583      0.063971   -0.0774953   0.00660583
node 65826    -16566.3   25000   0      0.0641194   -0.0767936   0.00680473      0.0641194   -0.0767936   0.00680473
node 65943    -17168.7   25000   0      0.0641675   -0.0758852   0.00701346      0.0641675   -0.0758852   0.00701346
node 65998    -17771.1   25000   0      0.0640782   -0.0748634   0.00722176      0.0640782   -0.0748634   0.00722176
node 66092    -18373.5   25000   0      0.0639304   -0.0737627   0.0073735      0.0639304   -0.0737627   0.0073735
node 66112    -18975.9   25000   0      0.0636565   -0.0724921   0.00753465      0.0636565   -0.0724921   0.00753465
node 66127    -19578.3   25000   0      0.0633026   -0.0712018   0.00767475      0.0633026   -0.0712018   0.00767475
node 66166    -20180.7   25000   0      0.0628658   -0.0697995   0.00781143      0.0628658   -0.0697995   0.00781143
node 65096    -20783.1   25000   0      0.0623229   -0.0683397   0.00792725      0.0623229   -0.0683397   0.00792725
node 65095    -21385.5   25000   0      0.0617375   -0.0668605   0.00802885      0.0617375   -0.0668605   0.00802885
node 63126    -21988   25000   0      0.0610575   -0.0652943   0.0081191      0.0610575   -0.0652943   0.0081191
node 63127    -22590.4   25000   0      0.0603286   -0.0637438   0.00818561      0.0603286   -0.0637438   0.00818561
node 54216    -23192.8   25000   0      0.0595494   -0.0621709   0.0082473      0.0595494   -0.0621709   0.0082473
node 60329    -23795.2   25000   0      0.0587006   -0.0605691   0.00829143      0.0587006   -0.0605691   0.00829143
node 60327    -24397.6   25000   0      0.0578369   -0.0590088   0.0083328      0.0578369   -0.0590088   0.0083328
node 59979    -25000   24397.6   0      0.0585771   -0.0584492   0.00832468      0.0585771   -0.0584492   0.00832468
node 64716    -25000   23795.2   0      0.0602495   -0.0594619   0.00829295      0.0602495   -0.0594619   0.00829295
node 63665    -25000   23192.8   0      0.0619783   -0.0604708   0.0082419      0.0619783   -0.0604708   0.0082419
node 63664    -25000   22590.4   0      0.063685   -0.061408   0.00819056      0.063685   -0.061408   0.00819056
node 65092    -25000   21988   0      0.0654089   -0.0623197   0.0081176      0.0654089   -0.0623197   0.0081176
node 65974    -25000   21385.5   0      0.0671276   -0.0631595   0.0080305      0.0671276   -0.0631595   0.0080305
node 63264    -25000   20783.1   0      0.0688151   -0.0639526   0.00791993      0.0688151   -0.0639526   0.00791993
node 63313    -25000   20180.7   0      0.0705209   -0.0646729   0.00779328      0.0705209   -0.0646729   0.00779328
node 65971    -25000   19578.3   0      0.0721234   -0.065287   0.00768108      0.0721234   -0.065287   0.00768108
node 66058    -25000   18975.9   0      0.0737208   -0.0658598   0.0075122      0.0737208   -0.0658598   0.0075122
node 65942    -25000   18373.5   0      0.0752665   -0.0663158   0.00733747      0.0752665   -0.0663158   0.00733747
node 65912    -25000   17771.1   0      0.0767016   -0.0666843   0.00714108      0.0767016   -0.0666843   0.00714108
node 65888    -25000   17168.7   0      0.0780909   -0.0669408   0.00692936      0.0780909   -0.0669408   0.00692936
node 65857    -25000   16566.3   0      0.0793335   -0.0670641   0.00670933      0.0793335   -0.0670641   0.00670933
node 65855    -25000   15963.9   0      0.0804415   -0.0670931   0.00647973      0.0804415   -0.0670931   0.00647973
node 65791    -25000   15361.4   0      0.0814549   -0.0669792   0.00621272      0.0814549   -0.0669792   0.00621272
node 61126    -25000   14759   0      0.0822177   -0.0667362   0.00594911      0.0822177   -0.0667362   0.00594911
node 65746    -25000   14156.6   0      0.0828582   -0.0663662   0.005655      0.0828582   -0.0663662   0.005655
node 54585    -25000   13554.2   0      0.0832749   -0.0658337   0.00534941      0.0832749   -0.0658337   0.00534941
node 54586    -25000   12951.8   0      0.0833815   -0.0651781   0.00504432      0.0833815   -0.0651781   0.00504432
node 65652    -25000   12349.4   0      0.0833274   -0.0643663   0.00471821      0.0833274   -0.0643663   0.00471821
node 63868    -25000   11747   0      0.0828435   -0.0634075   0.00440206      0.0828435   -0.0634075   0.00440206
node 63869    -25000   11144.6   0      0.0821416   -0.0623383   0.00407656      0.0821416   -0.0623383   0.00407656
node 64109    -25000   10542.2   0      0.081066   -0.0611159   0.00375517      0.081066   -0.0611159   0.00375517
node 65517    -25000   9939.76   0      0.0795755   -0.0597848   0.00345518      0.0795755   -0.0597848   0.00345518
node 65502    -25000   9337.35   0      0.077833   -0.0583693   0.00312524      0.077833   -0.0583693   0.00312524
node 61452    -25000   8734.94   0      0.0755092   -0.0568318   0.00283872      0.0755092   -0.0568318   0.00283872
node 65456    -25000   8132.53   0      0.0728563   -0.0552584   0.00253053      0.0728563   -0.0552584   0.00253053
node 65438    -25000   7530.12   0      0.0698127   -0.053624   0.0022212      0.0698127   -0.053624   0.0022212
node 65392    -25000   6927.71   0      0.0662313   -0.0519413   0.00197852      0.0662313   -0.0519413   0.00197852
node 65367    -25000   6325.3   0      0.0623683   -0.0503071   0.00170245      0.0623683   -0.0503071   0.00170245
node 65349    -25000   5722.89   0      0.0579224   -0.0486332   0.00148329      0.0579224   -0.0486332   0.00148329
node 65350    -25000   5120.48   0      0.053118   -0.0470662   0.00127141      0.053118   -0.0470662   0.00127141
node 65239    -25000   4518.07   0      0.0480256   -0.0455986   0.00101694      0.0480256   -0.0455986   0.00101694
node 65226    -25000   3915.66   0      0.0424184   -0.0441653   0.000877883      0.0424184   -0.0441653   0.000877883
node 65198    -25000   3313.25   0      0.0365918   -0.0429648   0.00069411      0.0365918   -0.0429648   0.00069411
node 52892    -25000   2710.84   0      0.0303785   -0.0418435   0.000550271      0.0303785   -0.0418435   0.000550271
node 52890    -25000   2108.43   0      0.0238759   -0.0409422   0.000427356      0.0238759   -0.0409422   0.000427356
node 65177    -25000   1506.02   0      0.0173041   -0.0403007   0.000261613      0.0173041   -0.0403007   0.000261613
node 65136    -25000   903.614   0      0.0104815   -0.0397774   0.000166972      0.0104815   -0.0397774   0.000166972
node 62940    -25000   301.205   0      0.00357049   -0.0395834   5.63397e-05      0.00357049   -0.0395834   5.63397e-05
node 62941    -25000   -301.205   0      -0.00333275   -0.039535   -4.94483e-05      -0.00333275   -0.039535   -4.94483e-05
node 65197    -25000   -903.614   0      -0.0102801   -0.0397727   -0.00014102      -0.0102801   -0.0397727   -0.00014102
node 64001    -25000   -1506.02   0      -0.0170301   -0.0402925   -0.000277588      -0.0170301   -0.0402925   -0.000277588
node 65233    -25000   -2108.43   0      -0.0236459   -0.0409427   -0.00038616      -0.0236459   -0.0409427   -0.00038616
node 65242    -25000   -2710.84   0      -0.0301626   -0.0418745   -0.00050308      -0.0301626   -0.0418745   -0.00050308
node 54255    -25000   -3313.25   0      -0.0362536   -0.0429239   -0.000673617      -0.0362536   -0.0429239   -0.000673617
node 47150    -25000   -3915.66   0      -0.0422094   -0.0441606   -0.000817977      -0.0422094   -0.0441606   -0.000817977
node 65369    -25000   -4518.07   0      -0.0477465   -0.0455809   -0.00101214      -0.0477465   -0.0455809   -0.00101214
node 62837    -25000   -5120.48   0      -0.0528728   -0.0470528   -0.0012062      -0.0528728   -0.0470528   -0.0012062
node 65427    -25000   -5722.89   0      -0.0577554   -0.0486738   -0.00140486      -0.0577554   -0.0486738   -0.00140486
node 65459    -25000   -6325.3   0      -0.0620415   -0.0503065   -0.00165778      -0.0620415   -0.0503065   -0.00165778
node 65303    -25000   -6927.71   0      -0.0660438   -0.051964   -0.00192051      -0.0660438   -0.051964   -0.00192051
node 62303    -25000   -7530.12   0      -0.0695716   -0.0536359   -0.00219631      -0.0695716   -0.0536359   -0.00219631
node 65549    -25000   -8132.53   0      -0.072586   -0.0552592   -0.00250785      -0.072586   -0.0552592   -0.00250785
node 65564    -25000   -8734.94   0      -0.0753341   -0.0568487   -0.00278987      -0.0753341   -0.0568487   -0.00278987
node 65560    -25000   -9337.35   0      -0.0774977   -0.0583666   -0.00312151      -0.0774977   -0.0583666   -0.00312151
node 65628    -25000   -9939.76   0      -0.0793437   -0.0597827   -0.00344542      -0.0793437   -0.0597827   -0.00344542
node 65647    -25000   -10542.2   0      -0.0808408   -0.0611054   -0.00375057      -0.0808408   -0.0611054   -0.00375057
node 65683    -25000   -11144.6   0      -0.0818709   -0.0623168   -0.00408463      -0.0818709   -0.0623168   -0.00408463
node 65712    -25000   -11747   0      -0.0826627   -0.063392   -0.00440281      -0.0826627   -0.063392   -0.00440281
node 65748    -25000   -12349.4   0      -0.083092   -0.0643552   -0.00471452      -0.083092   -0.0643552   -0.00471452
node 65775    -25000   -12951.8   0      -0.0831917   -0.0651495   -0.0050388      -0.0831917   -0.0651495   -0.0050388
node 65798    -25000   -13554.2   0      -0.0830969   -0.0658155   -0.00532874      -0.0830969   -0.0658155   -0.00532874
node 65871    -25000   -14156.6   0      -0.0826887   -0.066351   -0.00564563      -0.0826887   -0.066351   -0.00564563
node 63685    -25000   -14759   0      -0.0821218   -0.0667136   -0.0059315      -0.0821218   -0.0667136   -0.0059315
node 62400    -25000   -15361.4   0      -0.0813341   -0.0669704   -0.00620287      -0.0813341   -0.0669704   -0.00620287
node 60162    -25000   -15963.9   0      -0.0803501   -0.0670756   -0.00646573      -0.0803501   -0.0670756   -0.00646573
node 60160    -25000   -16566.3   0      -0.0792611   -0.0670453   -0.00670509      -0.0792611   -0.0670453   -0.00670509
node 66013    -25000   -17168.7   0      -0.0779963   -0.0669147   -0.00693405      -0.0779963   -0.0669147   -0.00693405
node 66043    -25000   -17771.1   0      -0.0766291   -0.0666371   -0.00715794      -0.0766291   -0.0666371   -0.00715794
node 65995    -25000   -18373.5   0      -0.0752268   -0.0663045   -0.0073248      -0.0752268   -0.0663045   -0.0073248
node 66105    -25000   -18975.9   0      -0.0736761   -0.0658428   -0.0075084      -0.0736761   -0.0658428   -0.0075084
node 66129    -25000   -19578.3   0      -0.0720959   -0.0652781   -0.00766443      -0.0720959   -0.0652781   -0.00766443
node 60045    -25000   -20180.7   0      -0.0704646   -0.0646584   -0.0077962      -0.0704646   -0.0646584   -0.0077962
node 60046    -25000   -20783.1   0      -0.0687857   -0.0639373   -0.0079232      -0.0687857   -0.0639373   -0.0079232
node 63802    -25000   -21385.5   0      -0.0671157   -0.0631757   -0.00802466      -0.0671157   -0.0631757   -0.00802466
node 66192    -25000   -21988   0      -0.0653934   -0.0623324   -0.00812192      -0.0653934   -0.0623324   -0.00812192
node 66169    -25000   -22590.4   0      -0.0636819   -0.0614223   -0.00819869      -0.0636819   -0.0614223   -0.00819869
node 64985    -25000   -23192.8   0      -0.0619838   -0.0604877   -0.00825166      -0.0619838   -0.0604877   -0.00825166
node 64736    -25000   -23795.2   0      -0.0602662   -0.0594895   -0.00830271      -0.0602662   -0.0594895   -0.00830271
node 60389    -25000   -24397.6   0      -0.0586064   -0.0584825   -0.00834604      -0.0586064   -0.0584825   -0.00834604
node 60385    -24397.6   -25000   0      -0.0578467   -0.0590204   -0.00834666      -0.0578467   -0.0590204   -0.00834666
node 64721    -23795.2   -25000   0      -0.0587183   -0.0605951   -0.00830613      -0.0587183   -0.0605951   -0.00830613
node 64941    -23192.8   -25000   0      -0.0595687   -0.0621992   -0.00824997      -0.0595687   -0.0621992   -0.00824997
node 53014    -22590.4   -25000   0      -0.0603414   -0.0637661   -0.00820347      -0.0603414   -0.0637661   -0.00820347
node 65097    -21988   -25000   0      -0.0610852   -0.0653331   -0.00813021      -0.0610852   -0.0653331   -0.00813021
node 63140    -21385.5   -25000   0      -0.0617513   -0.0668927   -0.0080463      -0.0617513   -0.0668927   -0.0080463
node 63139    -20783.1   -25000   0      -0.0623483   -0.0683807   -0.00796042      -0.0623483   -0.0683807   -0.00796042
node 65982    -20180.7   -25000   0      -0.0628739   -0.0698603   -0.00785887      -0.0628739   -0.0698603   -0.00785887
node 65057    -19578.3   -25000   0      -0.0633077   -0.0712424   -0.00772149      -0.0633077   -0.0712424   -0.00772149
node 45771    -18975.9   -25000   0      -0.0636829   -0.072577   -0.00758009      -0.0636829   -0.072577   -0.00758009
node 65952    -18373.5   -25000   0      -0.0639404   -0.0738148   -0.00743312      -0.0639404   -0.0738148   -0.00743312
